company;slug;field;display_field;current_value;verified_value;source;affects_score;status
Uniqa pojišťovna;uniqa-pojistovna;aum;AUM;VERIFY — ~€1.5-2.5B;;;yes;
Uniqa pojišťovna;uniqa-pojistovna;flag;Flag;[UNVERIFIED] — CLUSTER→uniqa-insurance-group — shares contact with UNIQA dss Slovakia [VERIFY scope] — one email max;;;no;
NN Životní pojišťovna;nn-zivotni-pojistovna;aum;AUM;VERIFY — ~€1B;;;yes;
Direct pojišťovna;direct-pojistovna;aum;AUM;VERIFY — small;;;yes;
ČPP (Česká podnikatelská);cpp-ceska-podnikatelska;aum;AUM;VERIFY — ~€1B;;;yes;
Slavia pojišťovna;slavia-pojistovna;aum;AUM;VERIFY — small;;;yes;
Triglav pojišťovna;triglav-pojistovna;aum;AUM;VERIFY — small;;;yes;
SV pojišťovna;sv-pojistovna;aum;AUM;VERIFY — small;;;yes;
MetLife pojišťovna;metlife-pojistovna;aum;AUM;VERIFY — small;;;yes;
Ethniki Asfalistiki;ethniki-asfalistiki;aum;AUM;VERIFY — largest Greek book ~€3B+;;;yes;
Ethniki Asfalistiki;ethniki-asfalistiki;flag;Flag;[UNVERIFIED] — verify ownership status (reported Piraeus talks) before approach;;;no;
Eurolife FFH;eurolife-ffh;aum;AUM;VERIFY — ~€2-3B;;;yes;
Interamerican;interamerican;aum;AUM;VERIFY — ~€1B;;;yes;
Groupama Phoenix;groupama-phoenix;aum;AUM;VERIFY — small-mid;;;yes;
Allianz Hellas;allianz-hellas;aum;AUM;VERIFY — ~€1B;;;yes;
Generali Hellas;generali-hellas;aum;AUM;VERIFY — ~€1B;;;yes;
Prime Insurance;prime-insurance;aum;AUM;VERIFY — very small;;;yes;
Ydrogeios Insurance;ydrogeios-insurance;aum;AUM;VERIFY — small;;;yes;
Interlife Insurance;interlife-insurance;aum;AUM;VERIFY — small;;;yes;
NP Insurance;np-insurance;aum;AUM;VERIFY — very small;;;yes;
ARAG Hellas;arag-hellas;aum;AUM;VERIFY — very small;;;yes;
Syneteristiki Insurance;syneteristiki-insurance;aum;AUM;VERIFY — very small;;;yes;
TEA Interamerican;tea-interamerican;aum;AUM;VERIFY — likely <€100M;;;yes;
TEA TMEDE;tea-tmede;aum;AUM;VERIFY — among largest TEAs (sector ~€2.8B total);;;yes;
TEA OTE;tea-ote;aum;AUM;VERIFY — likely €100-300M;;;yes;
TEA ELTA;tea-elta;aum;AUM;VERIFY — likely <€150M;;;yes;
Generali Biztosító Zrt.;generali-biztosito-zrt;aum;AUM;VERIFY — ~€1B;;;yes;
Allianz Hungária Zrt.;allianz-hungaria-zrt;aum;AUM;VERIFY — ~€1-1.5B;;;yes;
Groupama Biztosító Zrt.;groupama-biztosito-zrt;aum;AUM;VERIFY — ~€1B;;;yes;
Union Vienna Insurance Group;union-vienna-insurance-group;aum;AUM;VERIFY — small-mid;;;yes;
Aegon Magyarország;aegon-magyarorszag;aum;AUM;VERIFY — ~€1B;;;yes;
Aegon Magyarország;aegon-magyarorszag;flag;Flag;[UNVERIFIED] — GATED(fit 46) — branding stale (Aegon→Alfa under VIG) — verify contact;;;no;
UNIQA Biztosító Zrt.;uniqa-biztosito-zrt;aum;AUM;VERIFY — small-mid;;;yes;
UNIQA Biztosító Zrt.;uniqa-biztosito-zrt;flag;Flag;[UNVERIFIED] — CLUSTER→uniqa-insurance-group — name/email spelling mismatch — verify;;;no;
CIG Pannónia;cig-pannonia;aum;AUM;VERIFY — small;;;yes;
KÖBE Biztosító;kobe-biztosito;aum;AUM;VERIFY — very small;;;yes;
Wáberer Hungária;waberer-hungaria;aum;AUM;VERIFY — very small;;;yes;
Medicover Biztosító;medicover-biztosito;aum;AUM;VERIFY — very small;;;yes;
Medicover Biztosító;medicover-biztosito;flag;Flag;[UNVERIFIED] — verify email domain;;;no;
HUNInsurance;huninsurance;aum;AUM;VERIFY — likely not a carrier;;;yes;
HUNInsurance;huninsurance;flag;Flag;likely a BROKER (Hungarikum Alkusz) not an insurer — verify entity;;;no;
MKB Union;mkb-union;aum;AUM;VERIFY — small;;;yes;
Posta Biztosító;posta-biztosito;aum;AUM;VERIFY — small;;;yes;
SIGNAL Biztosító;signal-biztosito;aum;AUM;VERIFY — small;;;yes;
MetLife Hungary;metlife-hungary;aum;AUM;VERIFY — small;;;yes;
Allianz Hungária Pénztár;allianz-hungaria-penztar;aum;AUM;VERIFY — likely €600M-1B;;;yes;
OTP Nyugdíjpénztár;otp-nyugdijpenztar;aum;AUM;VERIFY — ~€2B likely (largest of ~€5.9B sector);;;yes;
Aegon Nyugdíjpénztár;aegon-nyugdijpenztar;aum;AUM;VERIFY — likely €700M-1B;;;yes;
Aegon Nyugdíjpénztár;aegon-nyugdijpenztar;flag;Flag;[UNVERIFIED] — GATED(fit 50) — import branding stale (Aegon→Alfa under VIG) — verify contact still in role;;;no;
MKB Nyugdíjpénztár;mkb-nyugdijpenztar;aum;AUM;VERIFY — likely €400-700M;;;yes;
MKB Nyugdíjpénztár;mkb-nyugdijpenztar;flag;Flag;[UNVERIFIED] — GATED(fit 46) — branding stale after MKB→MBH consolidation — verify fund name and contact;;;no;
Aranykor Pénztár;aranykor-penztar;aum;AUM;VERIFY — likely €500-800M;;;yes;
Horizont;horizont;aum;AUM;VERIFY — likely €200-400M;;;yes;
Horizont;horizont;flag;Flag;[UNVERIFIED] — largest surviving magannyugdijpenztar — verify AUM via MNB;;;no;
Honvéd Nyugdíjpénztár;honved-nyugdijpenztar;aum;AUM;VERIFY — likely €300-500M;;;yes;
Vasutas Nyugdíjpénztár;vasutas-nyugdijpenztar;aum;AUM;VERIFY — likely €150-300M;;;yes;
Generali Italia;generali-italia;aum;AUM;VERIFY — group-scale book;;;yes;
Generali Italia;generali-italia;flag;Flag;[UNVERIFIED] — best-addressed Italian row — verify Martorana title;;;no;
UnipolSai Assicurazioni;unipolsai-assicurazioni;aum;AUM;VERIFY — group ~€60B;;;yes;
Allianz Italia;allianz-italia;aum;AUM;VERIFY — ~€50B;;;yes;
Poste Vita;poste-vita;aum;AUM;VERIFY — ~€130B+ BTP-heavy;;;yes;
Intesa Sanpaolo Assicura;intesa-sanpaolo-assicura;aum;AUM;VERIFY — division ~€100B+;;;yes;
Intesa Sanpaolo Assicura;intesa-sanpaolo-assicura;flag;Flag;[UNVERIFIED] — verify Borla remit;;;no;
Zurich Italia;zurich-italia;aum;AUM;VERIFY — mid;;;yes;
HDI Assicurazioni;hdi-assicurazioni;aum;AUM;VERIFY — small-mid;;;yes;
HDI Assicurazioni;hdi-assicurazioni;flag;Flag;[UNVERIFIED] — verify email form;;;no;
Helvetia Italia;helvetia-italia;aum;AUM;VERIFY — small-mid;;;yes;
Nobis Compagnia;nobis-compagnia;aum;AUM;VERIFY — small;;;yes;
Genertel;genertel;aum;AUM;VERIFY — small;;;yes;
Cometa;cometa;aum;AUM;VERIFY — ~€14B, 524,867 members (2025);;;yes;
Fondo Espero;fondo-espero;aum;AUM;VERIFY ~€1.5B;;;yes;
Fondenergia;fondenergia;aum;AUM;VERIFY ~€3B;;;yes;
Fondenergia;fondenergia;flag;Flag;[UNVERIFIED] — verify Economia Reale membership;;;no;
Fondo Arco;fondo-arco;aum;AUM;VERIFY ~€1.3B — €24.4M Economia Reale ticket CONFIRMED;;;yes;
Fondo Pegaso;fondo-pegaso;aum;AUM;VERIFY ~€1.3B — €14.3M Economia Reale ticket CONFIRMED;;;yes;
Fondo Priamo;fondo-priamo;aum;AUM;VERIFY ~€3B;;;yes;
Fondo Priamo;fondo-priamo;flag;Flag;[UNVERIFIED] — verify FIA stance;;;no;
Previprof;previprof;aum;AUM;VERIFY — small;;;yes;
F.I.L.Coop Sanitario;filcoop-sanitario;aum;AUM;VERIFY — small;;;yes;
Fondo Alifond;fondo-alifond;aum;AUM;VERIFY ~€1.5B;;;yes;
Fondo Alifond;fondo-alifond;flag;Flag;[UNVERIFIED] — verify;;;no;
Fondo BCC;fondo-bcc;aum;AUM;VERIFY ~€5B;;;yes;
Fondo BCC;fondo-bcc;flag;Flag;[UNVERIFIED] — verify AUM and FIA program;;;no;
Fondo Telemaco;fondo-telemaco;aum;AUM;VERIFY ~€2.5B;;;yes;
Fondo Telemaco;fondo-telemaco;flag;Flag;[UNVERIFIED] — verify FIA stance;;;no;
Solidarieta Veneto;solidarieta-veneto;aum;AUM;VERIFY ~€2B;;;yes;
Solidarieta Veneto;solidarieta-veneto;flag;Flag;[UNVERIFIED] — duplicate row exists (Fondo Solidarietà Veneto/Covre) — one fund one conversation — verify current territorial program;;;no;
Previ Moda;previ-moda;aum;AUM;VERIFY ~€1B;;;yes;
Previ Moda;previ-moda;flag;Flag;[UNVERIFIED] — verify Economia Reale membership;;;no;
Previbank;previbank;aum;AUM;VERIFY ~€3B;;;yes;
Previbank;previbank;flag;Flag;[UNVERIFIED] — verify;;;no;
Prevedi;prevedi;aum;AUM;VERIFY ~€1B;;;yes;
Prevedi;prevedi;flag;Flag;[UNVERIFIED] — verify FIA stance;;;no;
Prevaer;prevaer;aum;AUM;VERIFY ~€700M;;;yes;
Prevaer;prevaer;flag;Flag;[UNVERIFIED] — verify membership;;;no;
Fondo Perseo Sirio;fondo-perseo-sirio;aum;AUM;VERIFY ~€500M;;;yes;
Fondo Fonte;fondo-fonte;aum;AUM;VERIFY — top-3 negoziale ~€5B;;;yes;
Fondo Fonte;fondo-fonte;flag;Flag;[UNVERIFIED] — verify Economia Reale membership (18 funds);;;no;
Fondo Sanita;fondo-sanita;aum;AUM;VERIFY ~€500M;;;yes;
Fondo Sanita;fondo-sanita;flag;Flag;[UNVERIFIED] — verify;;;no;
Fondo Eurofer;fondo-eurofer;aum;AUM;VERIFY ~€1.5B;;;yes;
Fondo Eurofer;fondo-eurofer;flag;Flag;[UNVERIFIED] — verify;;;no;
Fondo Poste;fondo-poste;aum;AUM;VERIFY ~€3B;;;yes;
Fondo Gomma Plastica;fondo-gomma-plastica;aum;AUM;VERIFY ~€2B;;;yes;
Fondo Gomma Plastica;fondo-gomma-plastica;flag;Flag;[UNVERIFIED] — verify Economia Reale membership;;;no;
Foncer;foncer;aum;AUM;VERIFY ~€1.5B;;;yes;
Foncer;foncer;flag;Flag;[UNVERIFIED] — verify membership;;;no;
Previdenza Cooperativa;previdenza-cooperativa;aum;AUM;VERIFY ~€2B;;;yes;
Previdenza Cooperativa;previdenza-cooperativa;flag;Flag;[UNVERIFIED] — verify;;;no;
Fondo Byblos;fondo-byblos;aum;AUM;VERIFY ~€1B;;;yes;
Fondo Byblos;fondo-byblos;flag;Flag;[UNVERIFIED] — verify;;;no;
Fondo Laborfonds;fondo-laborfonds;aum;AUM;VERIFY ~€3.5B — €30M Economia Reale ticket CONFIRMED;;;yes;
PZU SA;pzu-sa;aum;AUM;VERIFY — ~€10B+ largest CEE book;;;yes;
PZU SA;pzu-sa;contact_email;Email;FIND: artur.trela@pzu.pl (group pattern);;;no;
Warta;warta;aum;AUM;VERIFY — ~€2-3B;;;yes;
Warta;warta;flag;Flag;[UNVERIFIED] — CLUSTER→Talanx (no pipeline lead) — verify local discretion;;;no;
Allianz Polska;allianz-polska;aum;AUM;VERIFY — ~€3B+ post-Aviva;;;yes;
Generali Polska;generali-polska;aum;AUM;VERIFY — ~€1-2B;;;yes;
Generali Polska;generali-polska;flag;Flag;[UNVERIFIED] — CLUSTER→generali-italia — verify Hodgkiss currency;;;no;
Compensa TU;compensa-tu;aum;AUM;VERIFY — ~€1B;;;yes;
InterRisk;interrisk;aum;AUM;VERIFY — small-mid;;;yes;
TUZ Ubezpieczenia;tuz-ubezpieczenia;aum;AUM;VERIFY — small;;;yes;
Link4;link4;aum;AUM;VERIFY — small;;;yes;
Benefia;benefia;aum;AUM;VERIFY — small;;;yes;
ERGO Hestia;ergo-hestia;aum;AUM;VERIFY — ~€2-3B;;;yes;
Pocztowe TU;pocztowe-tu;aum;AUM;VERIFY — very small;;;yes;
Pocztowe TU;pocztowe-tu;flag;Flag;[UNVERIFIED] — dual email in import — verify;;;no;
Polisa Życie;polisa-zycie;aum;AUM;VERIFY — small;;;yes;
PZU OFE;pzu-ofe;aum;AUM;VERIFY — ~PLN 60B+ likely;;;yes;
Generali OFE;generali-ofe;aum;AUM;VERIFY;;;yes;
NN OFE;nn-ofe;aum;AUM;VERIFY — largest OFE ~PLN 70B+;;;yes;
PKO BP Bankowy OFE;pko-bp-bankowy-ofe;aum;AUM;VERIFY;;;yes;
Skarbiec Emerytura;skarbiec-emerytura;aum;AUM;VERIFY — entity likely defunct/merged;;;yes;
Credit Agricole OFE;credit-agricole-ofe;aum;AUM;VERIFY;;;yes;
Pocztylion-Arka OFE;pocztylion-arka-ofe;aum;AUM;VERIFY;;;yes;
Vienna OFE;vienna-ofe;aum;AUM;VERIFY;;;yes;
UNIQA OFE;uniqa-ofe;aum;AUM;VERIFY;;;yes;
Santander OFE;santander-ofe;aum;AUM;VERIFY;;;yes;
Allianz-Țiriac Asigurări;allianz-tiriac-asigurari;aum;AUM;VERIFY — ~€1B;;;yes;
Groupama Asigurări;groupama-asigurari;aum;AUM;VERIFY — ~€0.5-1B;;;yes;
Generali Romania;generali-romania;aum;AUM;VERIFY — ~€0.5B;;;yes;
Asirom Vienna Insurance Group;asirom-vienna-insurance-group;aum;AUM;VERIFY — small-mid;;;yes;
Omniasig VIG;omniasig-vig;aum;AUM;VERIFY — ~€0.5B;;;yes;
Signal Iduna;signal-iduna;aum;AUM;VERIFY — small;;;yes;
Uniqa Asigurări;uniqa-asigurari;aum;AUM;VERIFY — small;;;yes;
Grawe Romania;grawe-romania;aum;AUM;VERIFY — small;;;yes;
NN Asigurări de Viață;nn-asigurari-de-viata;aum;AUM;VERIFY — ~€1B+ life;;;yes;
BCR Asigurări de Viață;bcr-asigurari-de-viata;aum;AUM;VERIFY — small-mid life;;;yes;
Eurolife FFH;eurolife-ffh-romania;aum;AUM;VERIFY — small;;;yes;
BRD Asigurări;brd-asigurari;aum;AUM;VERIFY — small;;;yes;
BCR Pensii;bcr-pensii;aum;AUM;VERIFY — ~€3-4B likely;;;yes;
BRD Pensii;brd-pensii;aum;AUM;VERIFY — ~€2B likely;;;yes;
Metropolitan Life Pensii;metropolitan-life-pensii;flag;Flag;[LIKELY] — import name/email spelling mismatch (Dargomir vs dragomir@) — verify;;;no;
Raiffeisen Pensii;raiffeisen-pensii;aum;AUM;VERIFY;;;yes;
Generali Pensii;generali-pensii;aum;AUM;VERIFY — ~€2B likely (fund Aripi);;;yes;
Generali Pensii;generali-pensii;flag;Flag;[UNVERIFIED] — fund name is Aripi — verify AUM;;;no;
Carpathia;carpathia;aum;AUM;VERIFY — new small Pilon III;;;yes;
Carpathia;carpathia;flag;Flag;[UNVERIFIED] — verify launch date, AUM, shareholders;;;no;
BT Pensii;bt-pensii;aum;AUM;VERIFY — small Pilon III;;;yes;
Concordia Pensii;concordia-pensii;aum;AUM;VERIFY — likely nascent;;;yes;
Concordia Pensii;concordia-pensii;flag;Flag;[UNVERIFIED] — likely employers-confederation initiative not a licensed funded pension company — verify entity — contact is Dan Șucu of Concordia;;;no;
Pokojninska družba A;pokojninska-druzba-a;aum;AUM;VERIFY — likely €400-800M;;;yes;
Prva Pokojninska družba;prva-pokojninska-druzba;aum;AUM;VERIFY — likely €300-600M;;;yes;
Kapitalska Družba (KAD);kapitalska-druzba-kad;flag;Flag;[CONFIRMED] — board verified: Djalil president, Gregor Bajraktarević member (kapitalska-druzba.si) — published contact — verify alternatives composition in LP 2024 naložbe note before drafting;;;no;
Generali Pokojninski;generali-pokojninski;aum;AUM;VERIFY — likely €200-400M;;;yes;
Generali Pokojninski;generali-pokojninski;flag;Flag;[UNVERIFIED] — CLUSTER→generali-italia — no email in import — verify contact title;;;no;
Sava Pokojninska;sava-pokojninska;aum;AUM;VERIFY — likely €200-400M;;;yes;
Triglav Pokojninska;triglav-pokojninska;aum;AUM;VERIFY — likely €300-500M;;;yes;
Zavarovalnica Triglav;zavarovalnica-triglav;flag;Flag;[CONFIRMED] — Adria champion — fold the Czech branch and (Pension) duplicate rows into this conversation — verify short email form;;;no;
Generali Zavarovalnica;generali-zavarovalnica;aum;AUM;VERIFY — ~€1.5B;;;yes;
Generali Zavarovalnica;generali-zavarovalnica;flag;Flag;[UNVERIFIED] — CLUSTER→generali-italia — group-routed — verify CEO name form;;;no;
Grawe Zavarovalnica;grawe-zavarovalnica;aum;AUM;VERIFY — small;;;yes;
VZAJEMNA zdravstvena;vzajemna-zdravstvena;aum;AUM;VERIFY — shrunken post-reform;;;yes;
Prva Osebna Zavarovalnica;prva-osebna-zavarovalnica;aum;AUM;VERIFY — small-mid;;;yes;
Zav Vita (Pension);zav-vita-pension;aum;AUM;VERIFY — ~€0.5-1B;;;yes;
Zav Vita (Pension);zav-vita-pension;flag;Flag;[UNVERIFIED] — NLB life carrier — verify book;;;no;
Allianz – Slovenská dôchodková správcovská spoločnosť, a.s.;allianz-slovenska-dochodkova-spravcovska-spolocnost-as;flag;Flag;[CONFIRMED] — AUM verified — non-guaranteed funds grew to ~€4B of the book — home-market flagship — alternatives exposure still to verify in fund reports;;;no;
KOOPERATIVA dôchodková správcovská spoločnosť, a.s.;kooperativa-dochodkova-spravcovska-spolocnost-as;aum;AUM;VERIFY — newest and smallest DSS;;;yes;
NN dôchodková správcovská spoločnosť, a.s.;nn-dochodkova-spravcovska-spolocnost-as;aum;AUM;VERIFY — likely €2.5-3.5B;;;yes;
UNIQA d.s.s., a.s.;uniqa-dss-as;aum;AUM;VERIFY;;;yes;
VÚB Generali dôchodková správcovská spoločnosť, a.s.;vub-generali-dochodkova-spravcovska-spolocnost-as;aum;AUM;VERIFY — likely €2.5-3.5B;;;yes;
Doplnková dôchodková spoločnosť Tatra banky, a.s.;doplnkova-dochodkova-spolocnost-tatra-banky-as;aum;AUM;VERIFY — largest DDS likely €1B+;;;yes;
STABILITA, d.d.s., a.s.;stabilita-dds-as;aum;AUM;VERIFY — likely €400-600M;;;yes;
STABILITA, d.d.s., a.s.;stabilita-dds-as;flag;Flag;[UNVERIFIED] — verify shareholder structure and AUM;;;no;
KOOPERATIVA poisťovňa, a.s. (part of Vienna Insurance Group);kooperativa-poistovna-as-part-of-vienna-insurance-group;aum;AUM;VERIFY — ~€1.5-2B;;;yes;
KOOPERATIVA poisťovňa, a.s. (part of Vienna Insurance Group);kooperativa-poistovna-as-part-of-vienna-insurance-group;flag;Flag;[UNVERIFIED] — import misspells CEO (Vladimír Bakeš) — verify short email format;;;no;
NN Životná poisťovňa, a.s.;nn-zivotna-poistovna-as;aum;AUM;VERIFY — ~€0.5-1B;;;yes;
Union poisťovňa, a.s.;union-poistovna-as;aum;AUM;VERIFY — <€500M likely;;;yes;
ČSOB Poisťovňa, a.s.;csob-poistovna-as;aum;AUM;VERIFY — ~€0.5-1B;;;yes;
KOMUNÁLNA poisťovňa, a.s.;komunalna-poistovna-as;aum;AUM;VERIFY — small-mid;;;yes;
Wüstenrot poisťovňa, a.s.;wustenrot-poistovna-as;aum;AUM;VERIFY — small;;;yes;
BNP Paribas Cardif Poisťovňa, a.s.;bnp-paribas-cardif-poistovna-as;aum;AUM;VERIFY — small;;;yes;
PARTNERS poisťovňa, a.s.;partners-poistovna-as;aum;AUM;VERIFY — very small (2023 launch);;;yes;
NÖPAG Niederösterreichische Pensionskasse AG;nopag-niederosterreichische-pensionskasse-ag;aum;AUM;VERIFY — mid-size Vorsorgekasse;;;yes;
HBOR - Croatian Bank for Reconstruction and Development;hbor-croatian-bank-for-reconstruction-and-development;aum;AUM;VERIFY — got EUR 411M state capital injection (2026);;;yes;
OeEB - Österreichische Entwicklungsbank AG;oeeb-osterreichische-entwicklungsbank-ag;aum;AUM;VERIFY;;;yes;
SIFEM - Swiss Investment Fund for Emerging Markets;sifem-swiss-investment-fund-for-emerging-markets;aum;AUM;VERIFY (portfolio via responsAbility);;;yes;
DBNM - Development Bank of North Macedonia;dbnm-development-bank-of-north-macedonia;aum;AUM;VERIFY — small domestic development/export bank;;;yes;
CEB - Council of Europe Development Bank;ceb-council-of-europe-development-bank;contact_title;Contact Title;VERIFY — CEB Governor is Carlo Monticelli;;;no;
Zavarovalnica Sava (Pension);zavarovalnica-sava-pension;aum;AUM;Group €1.5bn portfolio / €2.5bn AUM (Sava Insurance Group Q1 2024) — subsidiary book VERIFY;;;yes;
